,Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,Source,Nature,Reporting Type,Units
18238,14,14.a,14.a.1,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),100,Bulgaria,2017,0.06366,2017,Intergovernmental Oceanographic Commission (IOC) of UNESCO,CA,G,PERCENT
18239,14,14.a,14.a.1,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),124,Canada,2013,0.88456,2013,Intergovernmental Oceanographic Commission (IOC) of UNESCO,CA,G,PERCENT
18240,14,14.a,14.a.1,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),124,Canada,2014,0.78075,2014,Intergovernmental Oceanographic Commission (IOC) of UNESCO,CA,G,PERCENT
18241,14,14.a,14.a.1,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),124,Canada,2015,0.6991,2015,Intergovernmental Oceanographic Commission (IOC) of UNESCO,CA,G,PERCENT
18242,14,14.a,14.a.1,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),124,Canada,2016,0.66731,2016,Intergovernmental Oceanographic Commission (IOC) of UNESCO,CA,G,PERCENT
18243,14,14.a,14.a.1,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),124,Canada,2017,0.80792,2017,Intergovernmental Oceanographic Commission (IOC) of UNESCO,CA,G,PERCENT
18244,14,14.a,14.a.1,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),170,Colombia,2013,0.11202,2013,Intergovernmental Oceanographic Commission (IOC) of UNESCO,CA,G,PERCENT
18245,14,14.a,14.a.1,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),170,Colombia,2014,0.1637,2014,Intergovernmental Oceanographic Commission (IOC) of UNESCO,CA,G,PERCENT
18246,14,14.a,14.a.1,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),170,Colombia,2015,0.11677,2015,Intergovernmental Oceanographic Commission (IOC) of UNESCO,CA,G,PERCENT
18247,14,14.a,14.a.1,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),170,Colombia,2016,0.0888,2016,Intergovernmental Oceanographic Commission (IOC) of UNESCO,CA,G,PERCENT
18248,14,14.a,14.a.1,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),170,Colombia,2017,0.08323,2017,Intergovernmental Oceanographic Commission (IOC) of UNESCO,CA,G,PERCENT
18249,14,14.a,14.a.1,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),180,Democratic Republic of the Congo,2015,1.11993,2015,Intergovernmental Oceanographic Commission (IOC) of UNESCO,CA,G,PERCENT
18250,14,14.a,14.a.1,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),191,Croatia,2013,2.92606,2013,Intergovernmental Oceanographic Commission (IOC) of UNESCO,CA,G,PERCENT
18251,14,14.a,14.a.1,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),218,Ecuador,2013,2.68197,2013,Intergovernmental Oceanographic Commission (IOC) of UNESCO,CA,G,PERCENT
18252,14,14.a,14.a.1,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),218,Ecuador,2014,2.52955,2014,Intergovernmental Oceanographic Commission (IOC) of UNESCO,CA,G,PERCENT
18253,14,14.a,14.a.1,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),246,Finland,2013,0.31524,2013,Intergovernmental Oceanographic Commission (IOC) of UNESCO,CA,G,PERCENT
18254,14,14.a,14.a.1,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),246,Finland,2014,0.33874,2014,Intergovernmental Oceanographic Commission (IOC) of UNESCO,CA,G,PERCENT
18255,14,14.a,14.a.1,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),246,Finland,2015,0.30814,2015,Intergovernmental Oceanographic Commission (IOC) of UNESCO,CA,G,PERCENT
18256,14,14.a,14.a.1,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),246,Finland,2016,0.31978,2016,Intergovernmental Oceanographic Commission (IOC) of UNESCO,CA,G,PERCENT
18257,14,14.a,14.a.1,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),246,Finland,2017,0.31646,2017,Intergovernmental Oceanographic Commission (IOC) of UNESCO,CA,G,PERCENT
18258,14,14.a,14.a.1,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),250,France,2017,0.52954,2017,Intergovernmental Oceanographic Commission (IOC) of UNESCO,CA,G,PERCENT
18259,14,14.a,14.a.1,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),276,Germany,2013,0.3217,2013,Intergovernmental Oceanographic Commission (IOC) of UNESCO,CA,G,PERCENT
18260,14,14.a,14.a.1,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),276,Germany,2014,0.30502,2014,Intergovernmental Oceanographic Commission (IOC) of UNESCO,CA,G,PERCENT
18261,14,14.a,14.a.1,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),276,Germany,2015,0.24607,2015,Intergovernmental Oceanographic Commission (IOC) of UNESCO,CA,G,PERCENT
18262,14,14.a,14.a.1,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),276,Germany,2016,0.25098,2016,Intergovernmental Oceanographic Commission (IOC) of UNESCO,CA,G,PERCENT
18263,14,14.a,14.a.1,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),276,Germany,2017,0.24542,2017,Intergovernmental Oceanographic Commission (IOC) of UNESCO,CA,G,PERCENT
18264,14,14.a,14.a.1,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),356,India,2013,0.26906,2013,Intergovernmental Oceanographic Commission (IOC) of UNESCO,CA,G,PERCENT
18265,14,14.a,14.a.1,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),364,Iran (Islamic Republic of),2015,1.42179,2015,Intergovernmental Oceanographic Commission (IOC) of UNESCO,CA,G,PERCENT
18266,14,14.a,14.a.1,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),364,Iran (Islamic Republic of),2017,0.63322,2017,Intergovernmental Oceanographic Commission (IOC) of UNESCO,CA,G,PERCENT
18267,14,14.a,14.a.1,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),372,Ireland,2017,4.80811,2017,Intergovernmental Oceanographic Commission (IOC) of UNESCO,CA,G,PERCENT
18268,14,14.a,14.a.1,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),380,Italy,2013,0.36694,2013,Intergovernmental Oceanographic Commission (IOC) of UNESCO,CA,G,PERCENT
18269,14,14.a,14.a.1,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),380,Italy,2014,0.35486,2014,Intergovernmental Oceanographic Commission (IOC) of UNESCO,CA,G,PERCENT
18270,14,14.a,14.a.1,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),380,Italy,2015,0.30667,2015,Intergovernmental Oceanographic Commission (IOC) of UNESCO,CA,G,PERCENT
18271,14,14.a,14.a.1,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),380,Italy,2016,0.30592,2016,Intergovernmental Oceanographic Commission (IOC) of UNESCO,CA,G,PERCENT
18272,14,14.a,14.a.1,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),380,Italy,2017,0.194,2017,Intergovernmental Oceanographic Commission (IOC) of UNESCO,CA,G,PERCENT
18273,14,14.a,14.a.1,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),392,Japan,2013,0.82353,2013,Intergovernmental Oceanographic Commission (IOC) of UNESCO,CA,G,PERCENT
18274,14,14.a,14.a.1,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),392,Japan,2014,0.35975,2014,Intergovernmental Oceanographic Commission (IOC) of UNESCO,CA,G,PERCENT
18275,14,14.a,14.a.1,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),392,Japan,2015,0.45281,2015,Intergovernmental Oceanographic Commission (IOC) of UNESCO,CA,G,PERCENT
18276,14,14.a,14.a.1,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),392,Japan,2016,0.38686,2016,Intergovernmental Oceanographic Commission (IOC) of UNESCO,CA,G,PERCENT
18277,14,14.a,14.a.1,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),392,Japan,2017,0.32965,2017,Intergovernmental Oceanographic Commission (IOC) of UNESCO,CA,G,PERCENT
18278,14,14.a,14.a.1,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),410,Republic of Korea,2013,0.4096,2013,Intergovernmental Oceanographic Commission (IOC) of UNESCO,CA,G,PERCENT
18279,14,14.a,14.a.1,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),410,Republic of Korea,2014,0.37052,2014,Intergovernmental Oceanographic Commission (IOC) of UNESCO,CA,G,PERCENT
18280,14,14.a,14.a.1,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),410,Republic of Korea,2015,0.33064,2015,Intergovernmental Oceanographic Commission (IOC) of UNESCO,CA,G,PERCENT
18281,14,14.a,14.a.1,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),410,Republic of Korea,2016,0.31798,2016,Intergovernmental Oceanographic Commission (IOC) of UNESCO,CA,G,PERCENT
18282,14,14.a,14.a.1,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),410,Republic of Korea,2017,0.25362,2017,Intergovernmental Oceanographic Commission (IOC) of UNESCO,CA,G,PERCENT
18283,14,14.a,14.a.1,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),414,Kuwait,2017,0.97046,2017,Intergovernmental Oceanographic Commission (IOC) of UNESCO,CA,G,PERCENT
18284,14,14.a,14.a.1,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),450,Madagascar,2014,0.32066,2014,Intergovernmental Oceanographic Commission (IOC) of UNESCO,CA,G,PERCENT
18285,14,14.a,14.a.1,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),450,Madagascar,2016,0.30111,2016,Intergovernmental Oceanographic Commission (IOC) of UNESCO,CA,G,PERCENT
18286,14,14.a,14.a.1,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),450,Madagascar,2017,0.29088,2017,Intergovernmental Oceanographic Commission (IOC) of UNESCO,CA,G,PERCENT
18287,14,14.a,14.a.1,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),480,Mauritius,2017,0.90417,2017,Intergovernmental Oceanographic Commission (IOC) of UNESCO,CA,G,PERCENT
18288,14,14.a,14.a.1,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),508,Mozambique,2015,5.76922,2015,Intergovernmental Oceanographic Commission (IOC) of UNESCO,CA,G,PERCENT
